starost,spol,grad,sprema,ukupna duljina staza,staz na trenutnom radnom mjestu,senioritet,primarna tehnologija,placa,
23,Ž,OS,VSS,1,1,Junior,Frontend,1000,
30,M,OS,VSS,5,2,Mid,Backend,1300,
35,Ž,ZG,?,10,5,Mid,Frontend,1500,
27,M,?,SSS,6,5,Senior,Backend,1600,
40,Ž,OS,SSS,20,12,Senior,Full,2200,
55,M,ZG,VSS,25,21,Senior,Backend,2500,
?,M,ZG,SSS,3,2,Mid,Full,1300,
29,Ž,OS,VSS,2,0,Junior,Frontend,900,
30,Ž,OS,VSS,10,2,Senior,Full,2000,
28,M,ZG,SSS,5,0,Mid,Backend,1600,
22,M,ZG,VSS,0,0,Junior,Frontend,?,
38,Ž,ZG,SSS,20,0,Junior,Full,1500,
44,M,ZG,VSS,18,18,Senior,Backend,2500,
33,M,OS,SSS,13,4,Mid,Frontend,1800,
36,M,OS,VSS,20,8,Senior,Full,2300
